"pop_num"	"variable"	"value"	"mip_ci"	"upper_ci"	"lower_ci"
"28"	29	"rand_mip"	46.6196196196196	0.344276621567249	46.9638962411868	46.2753429980524
"29"	30	"rand_mip"	47.6476476476476	0.349512542744256	47.9971601903919	47.2981351049033
"30"	31	"rand_mip"	48.2452452452452	0.353986766649351	48.5992320118945	47.8912584785959
"31"	32	"rand_mip"	49.3993993993994	0.354742776616209	49.7541421760156	49.0446566227832
"32"	33	"rand_mip"	50.3583583583584	0.349743072132331	50.7081014304907	50.0086152862261
"33"	34	"rand_mip"	51.1951951951952	0.361244716245622	51.5564399114408	50.8339504789496
"34"	35	"rand_mip"	52.1801801801802	0.367344401651818	52.547524581832	51.8128357785284
"35"	36	"rand_mip"	52.4534534534535	0.345777400461149	52.7992308539147	52.1076760529923
"36"	37	"rand_mip"	53.6106106106106	0.343962756199221	53.9545733668098	53.2666478544114
"37"	38	"rand_mip"	54.3273273273273	0.365216431529015	54.6925437588563	53.9621108957983
"38"	39	"rand_mip"	54.9439439439439	0.354858284147698	55.2988022280916	54.5890856597962
"39"	40	"rand_mip"	55.95995995996	0.350992564670836	56.3109525246308	55.6089673952892
"40"	41	"rand_mip"	57.013013013013	0.368170230694702	57.3811832437077	56.6448427823183
"41"	42	"rand_mip"	57.3283283283283	0.365207676671064	57.6935360049994	56.9631206516572
"42"	43	"rand_mip"	58.1731731731732	0.356650642454907	58.5298238156281	57.8165225307183
"43"	44	"rand_mip"	59.0550550550551	0.36735704176049	59.4224120968156	58.6876980132946
"44"	45	"rand_mip"	59.4304304304304	0.355815103967885	59.7862455343983	59.0746153264625
"45"	46	"rand_mip"	59.9439439439439	0.362844543862127	60.306788487806	59.5810994000818
"46"	47	"rand_mip"	61.019019019019	0.358139835006348	61.3771588540253	60.6608791840127
"47"	48	"rand_mip"	61.3773773773774	0.362822550533879	61.7401999279113	61.0145548268435
"48"	49	"rand_mip"	62.037037037037	0.371110573174719	62.4081476102117	61.6659264638623
"49"	50	"rand_mip"	62.4884884884885	0.350095787463898	62.8385842759524	62.1383927010246
"50"	51	"rand_mip"	63.2372372372372	0.370772927675474	63.6080101649127	62.8664643095617
"51"	52	"rand_mip"	63.9439439439439	0.366129531893291	64.3100734758372	63.5778144120506
"52"	53	"rand_mip"	64.3773773773774	0.375112055826732	64.7524894332041	64.0022653215507
"53"	54	"rand_mip"	65.2402402402402	0.365767945649454	65.6060081858896	64.8744722945907
"54"	55	"rand_mip"	65.6206206206206	0.377024848102939	65.9976454687235	65.2435957725177
"55"	56	"rand_mip"	66.0810810810811	0.370625275994369	66.4517063570755	65.7104558050867
"56"	57	"rand_mip"	66.6776776776777	0.369893920531704	67.0475715982094	66.307783757146
"57"	58	"rand_mip"	67.3633633633634	0.370034268177887	67.7333976315413	66.9933290951855
"58"	59	"rand_mip"	67.7217217217217	0.372507812793	68.0942295345147	67.3492139089287
"59"	60	"rand_mip"	68.5725725725726	0.367349243043749	68.9399218156163	68.2052233295288
"60"	61	"rand_mip"	68.4544544544544	0.364961014660121	68.8194154691145	68.0894934397943
"61"	62	"rand_mip"	69.2552552552552	0.382318305776503	69.6375735610317	68.8729369494787
"62"	63	"rand_mip"	69.8688688688689	0.369578492674079	70.238447361543	69.4992903761948
"63"	64	"rand_mip"	69.977977977978	0.375363140416187	70.3533411183942	69.6026148375618
"64"	65	"rand_mip"	70.6526526526526	0.386270989097579	71.0389236417502	70.266381663555
"65"	66	"rand_mip"	71.4454454454454	0.37904556756284	71.8244910130082	71.0663998778826
"66"	67	"rand_mip"	71.6236236236236	0.367611971793082	71.9912355954167	71.2560116518305
"67"	68	"rand_mip"	71.997997997998	0.373798316820003	72.371796314818	71.624199681178
"68"	69	"rand_mip"	72.5925925925926	0.385233259179539	72.9778258517721	72.2073593334131
"69"	70	"rand_mip"	73.2042042042042	0.35809509634944	73.5622993005536	72.8461091078548
"70"	71	"rand_mip"	73.4774774774775	0.368466015441129	73.8459434929186	73.1090114620364
"71"	72	"rand_mip"	73.9149149149149	0.381812127425838	74.2967270423407	73.5331027874891
"72"	73	"rand_mip"	73.9139139139139	0.374884781874883	74.2887986957888	73.539029132039
"73"	74	"rand_mip"	74.7207207207207	0.381120146034737	75.1018408667554	74.339600574686
"74"	75	"rand_mip"	75.033033033033	0.371528101077342	75.4045611341104	74.6615049319557
"75"	76	"rand_mip"	75.6216216216216	0.380937137517742	76.0025587591393	75.2406844841039
"76"	77	"rand_mip"	76.025025025025	0.38647043971053	76.4114954647355	75.6385545853145
"77"	78	"rand_mip"	76.1831831831832	0.371598617992031	76.5547818011752	75.8115845651912
"78"	79	"rand_mip"	76.5815815815816	0.374794644513603	76.9563762260952	76.206786937068
"79"	80	"rand_mip"	77.049049049049	0.360868486294683	77.4099175353437	76.6881805627543
"80"	81	"rand_mip"	77.6306306306306	0.366908509614806	77.9975391402454	77.2637221210158
